Date,rolling_correlation
2018-07-02,-0.24789711882619114
2018-07-03,-0.24794096299999172
2018-07-04,-0.250347109886605
2018-07-05,-0.25272248275176273
2018-07-06,-0.2504690359150712
2018-07-09,-0.25220429277306217
2018-07-10,-0.25075766832460655
2018-07-11,-0.2517661203135807
2018-07-12,-0.24466284017351397
2018-07-13,-0.2463821979924533
2018-07-16,-0.24790527364344134
2018-07-17,-0.2457763048767492
2018-07-18,-0.24448029600366097
2018-07-19,-0.24554437086126243
2018-07-20,-0.24418728452240265
2018-07-23,-0.2353721327978036
2018-07-24,-0.2323609570453251
2018-07-25,-0.23100212850336632
2018-07-26,-0.23561376549383595
2018-07-27,-0.2327627014883988
2018-07-30,-0.2298559349410165
2018-07-31,-0.22440677057741656
2018-08-01,-0.2259992001055469
2018-08-02,-0.23038405186975616
2018-08-03,-0.22189138711451784
2018-08-06,-0.22101161594380142
2018-08-07,-0.21912946742358513
2018-08-08,-0.21793113464971953
2018-08-09,-0.21789285796963972
2018-08-10,-0.22263183032179554
2018-08-13,-0.2310706002020339
2018-08-14,-0.22676078218065812
2018-08-16,-0.22344594865169112
2018-08-17,-0.2264111344869627
2018-08-20,-0.2228938201894656
2018-08-21,-0.223946372676773
2018-08-22,-0.22356108634259658
2018-08-23,-0.22505028779457206
2018-08-24,-0.22020191688112611
2018-08-27,-0.2212657782595442
2018-08-28,-0.22174071458743466
2018-08-29,-0.21999747436459183
2018-08-30,-0.21454132234035558
2018-08-31,-0.20853131377174758
2018-09-03,-0.20528535941356177
2018-09-04,-0.20566525632856125
2018-09-05,-0.21113073814883396
2018-09-06,-0.2107008024850377
2018-09-07,-0.2113469099946398
2018-09-10,-0.21081252602331502
2018-09-11,-0.21002154017733152
2018-09-12,-0.20873549825838753
2018-09-13,-0.21112755059922295
2018-09-14,-0.21649599065040692
2018-09-17,-0.2186704995568013
2018-09-18,-0.2176264507695671
2018-09-19,-0.21726806795876444
2018-09-20,-0.22219414397369425
2018-09-21,-0.22557759515510226
2018-09-27,-0.2266663037953037
2018-09-28,-0.22646293870933865
2018-10-01,-0.22645368902140267
2018-10-02,-0.23298454345139316
2018-10-04,-0.24570317589384613
2018-10-05,-0.2471687279022763
2018-10-08,-0.24810090719548028
2018-10-10,-0.2495161254432225
2018-10-11,-0.27190978001166904
2018-10-12,-0.2799383766572447
2018-10-15,-0.27743570720265237
2018-10-16,-0.2769803555937604
2018-10-17,-0.2847167423462651
2018-10-18,-0.2868727876530128
2018-10-19,-0.28237421599137796
2018-10-22,-0.28453609706143934
2018-10-23,-0.28001479818910574
2018-10-24,-0.2793496297394407
2018-10-25,-0.2732366839102525
2018-10-26,-0.26708711970880583
2018-10-29,-0.2699998623977573
2018-10-30,-0.266270613446752
2018-10-31,-0.2684614090226977
2018-11-01,-0.26888437902171486
